"","doc_id","word","candidate"
"344","2024-11-04","campaign","Donald Trump"
"345","2024-11-04","election","Donald Trump"
"346","2024-11-04","pick","Donald Trump"
"347","2024-11-04","hometown","Donald Trump"
"348","2024-11-04","win","Donald Trump"
"349","2024-11-04","represent","Donald Trump"
"350","2024-11-04","win","Donald Trump"
"351","2024-11-04","lose","Donald Trump"
"352","2024-11-04","win","Donald Trump"
"353","2024-11-04","Mr.","Donald Trump"
"354","2024-11-04","assassination","Donald Trump"
"355","2024-11-04","debate","Donald Trump"
"356","2024-11-04","attempt","Donald Trump"
"357","2024-11-04","assassination","Donald Trump"
"358","2024-11-04","conviction","Donald Trump"
"359","2024-11-04","Donald","Donald Trump"
"360","2024-11-04","presidency","Donald Trump"
"361","2024-11-04","Mr.","Donald Trump"
"362","2024-11-04","Mr.","Donald Trump"
"363","2024-11-04","Donald","Donald Trump"
"364","2024-11-04","Donald","Donald Trump"
"365","2024-11-04","Donald","Donald Trump"
"366","2024-11-04","off","Donald Trump"
"367","2024-11-04","Donald","Donald Trump"
"368","2024-11-04","Mr.","Donald Trump"
"369","2024-11-04","Mr.","Donald Trump"
"370","2024-11-04","Mr.","Donald Trump"
"371","2024-11-04","Mr.","Donald Trump"
"372","2024-11-04","Donald","Donald Trump"
"373","2024-11-04","Donald","Donald Trump"
"374","2024-11-04","Donald","Donald Trump"
"375","2024-11-04","Donald","Donald Trump"
"376","2024-11-04","Donald","Donald Trump"
"377","2024-11-04","Donald","Donald Trump"
"378","2024-11-04","he","Donald Trump"
"379","2024-11-04","Donald","Donald Trump"
"380","2024-11-04","Donald","Donald Trump"
"381","2024-11-04","Donald","Donald Trump"
"382","2024-11-04","Donald","Donald Trump"
"383","2024-11-04","Donald","Donald Trump"
"384","2024-11-04","Donald","Donald Trump"
"385","2024-11-04","Donald","Donald Trump"
"386","2024-11-04","Donald","Donald Trump"
"387","2024-11-04","Mr.","Donald Trump"
"388","2024-11-04","Mr.","Donald Trump"
"389","2024-11-04","Mr.","Donald Trump"
"390","2024-11-04","Mr.","Donald Trump"
"391","2024-11-04","Mr.","Donald Trump"
"392","2024-11-03","term","Donald Trump"
"393","2024-11-03","President","Donald Trump"
"394","2024-11-03","Mr.","Donald Trump"
"395","2024-11-03","Donald","Donald Trump"
"396","2024-11-03","Mr.","Donald Trump"
"397","2024-11-03","Donald","Donald Trump"
"398","2024-11-03","Donald","Donald Trump"
"399","2024-11-03","Donald","Donald Trump"
"400","2024-11-03","Mr.","Donald Trump"
"401","2024-11-03","Mr.","Donald Trump"
"402","2024-11-03","Mr.","Donald Trump"
"403","2024-11-03","presidency","Donald Trump"
"404","2024-11-03","coalition","Donald Trump"
"405","2024-11-03","promise","Donald Trump"
"406","2024-11-03","repeatedly","Donald Trump"
"407","2024-11-03","Donald","Donald Trump"
"408","2024-11-03","self","Donald Trump"
"409","2024-11-03","Donald","Donald Trump"
"410","2024-11-03","contest","Donald Trump"
"411","2024-11-03","Mr.","Donald Trump"
"412","2024-11-02","Donald","Donald Trump"
"413","2024-11-02","Donald","Donald Trump"
"414","2024-11-02","Mr.","Donald Trump"
"415","2024-11-02","Donald","Donald Trump"
"416","2024-11-02","Mr.","Donald Trump"
"417","2024-11-02","rally","Donald Trump"
"418","2024-11-02","surrogate","Donald Trump"
"419","2024-11-02","himself","Donald Trump"
